,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
53,"b'Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortions and emergency contraceptives has risen. #TigrayWarRapeVictims #WeaponizedRape \n@UN\n @Haavisto @EUCouncil @AnnLinde @USAmbUN https://t.co/9ECapKB1Bh'",1.39073E+18,276,07-05-2021 18:19,,,en,Twitter for Android,1,2
54,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39073E+18,144,07-05-2021 18:16,,,en,Twitter Web App,0,192
55,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39073E+18,144,07-05-2021 18:15,,,en,TweetDeck,0,192
56,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39073E+18,140,07-05-2021 18:13,,,en,Twitter for iPhone,0,10365
57,"b'#SAC is not a civilized group. They are thugs. They never cared about civilians nor ever will. What can you expect from a group who commits #Genocide, #Rape, #CrimesAgainstHumanity, #MassAtrocities? https://t.co/0TSAx6n5mH'",1.39073E+18,222,07-05-2021 18:11,,,en,Twitter for iPhone,0,0
58,b'RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.\n#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/\xe2\x80\xa6',1.39073E+18,140,07-05-2021 18:01,,,en,Twitter for Android,0,7
59,"b'RT @MartinRJay: My latest investigation - \n\nRevealed: #UK Government in the spotlight over #UN sex crimes, #Whistleblower warns of \xe2\x80\x9crape cu\xe2\x80\xa6'",1.39073E+18,140,07-05-2021 17:59,,,en,Twitter Web App,0,22
60,"b""RT @AmandaGreenUK: 200+ reviews on Amazon &amp; Goodreads **** Life could definitely be worse. Life could definitely be better. Here's my story\xe2\x80\xa6""",1.39073E+18,144,07-05-2021 17:54,,,en,Twitter for Android,0,20
61,b'Some one must pick them for taking them at Rohingya camp in Indian Syria ( West Bengal ) . Rohingyas will definitely satisfy them with practical demo on #Rape . #AntiHinduMamata #BengalViolence #PresidentRuleInBengal #BangalBurning https://t.co/sTjj1ZEL1d',1.39073E+18,255,07-05-2021 17:49,,,en,Twitter for iPhone,0,0
62,b'RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.\n#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/\xe2\x80\xa6',1.39073E+18,140,07-05-2021 17:48,,,en,Twitter for Android,0,7
63,"b""#youramerica #torture #assault #yourheroes #yourmonsters #corruption #rape #murder #theft #accountability #civilrights #houston #dallas #satxpolice  #endqualifiedimmunity\nNew Bill Will Prevent Fired 'Gypsy Cops' From Moving to New Depts to Strike Again https://t.co/6fCrhnJ1rO""",1.39072E+18,276,07-05-2021 17:47,,,en,Twitter Web App,0,0
64,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39072E+18,140,07-05-2021 17:36,,,en,Twitter for iPhone,0,67
65,"b'RT @TruckerDesiree: Hi Mike \xf0\x9f\x91\x8b  ,  yes, I suppose in many ways I have personally but unfortunately still trying to hold #trucking industry a\xe2\x80\xa6'",1.39072E+18,140,07-05-2021 17:31,,,en,Twitter for Android,0,1
66,b'@BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas',1.39072E+18,107,07-05-2021 17:31,,,en,Twitter for iPhone,1,2
67,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39072E+18,140,07-05-2021 17:29,,,en,Twitter for Android,0,67
68,"b""Dear CM @MamataOfficial, @BanglarGorboMB,\n\nI'm requesting you to Punish those criminals of Saswati Jana #rape &amp; #murder case.\n\n@idevadhikari, @jdhankhar1 @jeet30, @ItsYourDev please help us to deliver our massage to the government \n\n#justice_for_saswati\n#hang_on_repiest""",1.39072E+18,274,07-05-2021 17:20,,,en,Twitter for Android,0,0
69,"b""RT @Mr_Sayan20: Dear CM @MamataOfficial, @BanglarGorboMB,\n\nI'm requesting you to Punish those criminals of Saswati Jana #rape &amp; #murder cas\xe2\x80\xa6""",1.39072E+18,144,07-05-2021 17:19,,,en,Twitter for Android,0,1
70,"b'RT @temesgen_kahsay: ""There are no tidy or fully satisfactory solutions available in Ethiopia."" \n\nBut there is one solution that is always\xe2\x80\xa6'",1.39072E+18,139,07-05-2021 17:19,,,en,Twitter for Android,0,7
71,b'RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.\n#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/\xe2\x80\xa6',1.39072E+18,140,07-05-2021 17:16,,,en,Twitter for Android,0,7
72,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39071E+18,140,07-05-2021 17:04,,,en,Twitter Web App,0,10365
73,b'RAPEIST CAUGHT BY SP WAHAB\n#INTERVIEW \n#crimesnews \n#rape \n#snatching https://t.co/7W90rfVatn',1.39071E+18,93,07-05-2021 17:02,,,en,Twitter for Android,3,0
74,b'RT @Ethiopia_Abebe: Sexual violence victims in Tigray struggle with psychological impact #TigrayGenocide #WeaponizedRape #SexualAssault #SG\xe2\x80\xa6',1.39071E+18,140,07-05-2021 17:01,,,en,Twitter for iPhone,0,4
75,"b'Every woman has the right to wear what she wants as sexy as she likes ... and goes wherever she wants even alone .\n\nNoone has the right to judge her , let alone rape her for wearing whatever she likes . \n\n#rape #greece #sexual #abused #\xce\xb5\xce\xbb\xce\xbb\xce\xb1\xce\xb4\xce\xb1 #\xce\xb2\xce\xb9\xce\xb1\xcf\x83\xce\xbc\xce\xbf\xcf\x82 https://t.co/sVYjNBuj3y'",1.39071E+18,275,07-05-2021 17:00,,,en,Twitter for Android,0,0
76,"b'RT @DograSonakshi: Kitni lasho aur khoon ko FAKE bologe aap? Kab tak sach ko chupaoge? \n\n@AITCofficial KA GUNDA-RAJ !! \nWomen are raped, fa\xe2\x80\xa6'",1.39071E+18,140,07-05-2021 16:58,,,en,Twitter Web App,0,288
77,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39071E+18,140,07-05-2021 16:56,,,en,Twitter for Android,0,67
